,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
55,Ribeira Grande,40,PT,1598725991,83,38.52,-28.7,78.8,11.41
56,Iquitos,98,PE,1598726053,62,-3.75,-73.25,89.6,6.93
57,Havøysund,83,NO,1598725966,70,71.0,24.66,48.2,8.05
58,Barrow,90,US,1598725957,74,71.29,-156.79,37.4,16.11
59,Tiksi,0,RU,1598725953,87,71.69,128.87,40.75,7.09
60,Awjilah,0,LY,1598726109,23,29.11,21.29,88.83,8.52
61,Sept-Îles,75,CA,1598725810,54,50.2,-66.38,59.0,12.75
62,Lavrentiya,50,RU,1598726009,73,65.58,-171.0,45.19,10.2
63,São Filipe,69,CV,1598725973,76,14.9,-24.5,81.14,4.34
64,Havelock,75,US,1598726029,59,34.88,-76.9,91.4,14.99
65,Torbay,40,CA,1598726021,52,47.67,-52.73,68.0,18.34
66,Vanimo,75,PG,1598726112,82,-2.67,141.3,76.26,4.61
67,Bariloche,75,AR,1598726056,41,-41.15,-71.31,41.0,16.11
68,Atuona,2,PF,1598725932,77,-9.8,-139.03,79.05,19.08
69,Codrington,100,AU,1598725962,35,-38.27,141.97,59.2,23.15
70,Bethel,90,US,1598725940,88,41.37,-73.41,75.2,5.82
71,Vaini,20,TO,1598725966,88,-21.2,-175.2,73.4,8.05
72,Lorengau,88,PG,1598725944,81,-2.02,147.27,81.36,10.98
73,Antalaha,8,MG,1598726114,84,-14.9,50.28,69.42,8.3
74,Kamenka,93,RU,1598726115,70,51.32,42.77,61.61,6.08
75,Leh,0,IN,1598726115,31,34.17,77.58,59.81,3.56
76,Maragogi,44,BR,1598726116,78,-9.01,-35.22,77.81,12.39
77,Nikolskoye,75,RU,1598725945,87,59.7,30.79,57.99,6.71
78,Meulaboh,62,ID,1598726003,87,4.14,96.13,77.4,3.83
79,Luang Prabang,100,LA,1598726121,88,19.89,102.13,73.96,1.14
80,Baruun-Urt,100,MN,1598726122,83,46.68,113.28,54.14,12.77
81,Deputatsky,74,RU,1598726002,100,69.3,139.9,31.87,2.48
82,Inhambane,0,MZ,1598725935,88,-23.86,35.38,75.2,20.8
83,Vao,97,NC,1598725992,73,-22.67,167.48,65.98,20.49
84,Ljungby,28,SE,1598726123,93,56.83,13.94,57.2,4.7
85,Foindu,100,SL,1598726123,96,7.41,-11.54,73.27,3.65
86,Turtas,99,RU,1598726124,86,58.94,69.13,55.76,4.05
87,Talnakh,32,RU,1598725986,100,69.49,88.4,46.4,4.47
88,Dubbo,0,AU,1598725973,93,-32.25,148.62,39.2,8.05
89,Emerald,0,AU,1598726124,82,-23.53,148.17,55.4,8.05
90,Hobart,100,AU,1598725859,71,-42.88,147.33,54.0,11.41
91,Fortuna,90,US,1598725687,93,40.6,-124.16,62.01,5.82
92,Angoche,13,MZ,1598725981,78,-16.23,39.91,74.7,15.66
93,Brae,100,GB,1598725972,76,60.4,-1.35,50.0,9.17
94,Broken Hill,12,AU,1598725873,29,-31.95,141.43,62.6,16.11
95,Leningradskiy,100,RU,1598725923,91,69.38,178.42,36.45,9.17
96,Itaperuna,48,BR,1598726127,44,-21.2,-41.89,84.16,4.0
97,Vestmannaeyjar,75,IS,1598726127,81,63.44,-20.27,51.8,9.17
98,Kaitangata,11,NZ,1598725965,69,-46.28,169.85,53.01,8.99
99,Faanui,78,PF,1598725991,79,-16.48,-151.75,77.76,24.9
100,Flin Flon,40,CA,1598725861,63,54.77,-101.86,64.4,8.05
101,Altay,0,CN,1598726128,57,47.87,88.12,53.53,2.77
102,Mahébourg,75,MU,1598725949,73,-20.41,57.7,71.6,16.11
103,George Town,20,MY,1598725715,78,5.41,100.34,84.0,3.22
104,San Jose,0,US,1598725968,59,37.34,-121.89,75.0,1.01
105,Cravo Norte,0,CO,1598726130,54,6.3,-70.2,90.46,10.27
106,Mayo,90,US,1598726022,88,38.89,-76.51,82.4,6.93
107,East London,88,ZA,1598725968,71,-33.02,27.91,51.8,25.28
108,Tuktoyaktuk,75,CA,1598725942,81,69.45,-133.04,44.6,10.29
109,Cihuatlán,40,MX,1598726131,70,19.24,-104.57,89.6,13.87
110,Bambous Virieux,75,MU,1598725974,73,-20.34,57.76,71.6,16.11
111,Viedma,0,AR,1598725997,32,-40.81,-63.0,48.0,7.0
112,San Policarpo,100,PH,1598726132,83,12.18,125.51,78.89,8.5
113,Paamiut,100,GL,1598726132,89,61.99,-49.67,44.64,9.89
114,Corn Island,42,NI,1598726121,78,12.17,-83.04,83.44,14.12
115,Tigil',17,RU,1598725985,94,57.8,158.67,40.24,0.51
116,Ankazoabo,10,MG,1598726133,46,-22.28,44.52,74.26,7.36
117,Ingham,90,US,1598726134,57,42.6,-84.38,75.2,17.22
118,Comodoro Rivadavia,0,AR,1598725993,31,-45.87,-67.5,50.0,19.46
119,Hondomachi-hondo,0,JP,1598726135,76,32.45,130.2,82.04,1.05
120,Hermanus,98,ZA,1598725962,88,-34.42,19.23,42.01,8.21
121,Svrljig,0,RS,1598726136,42,43.41,22.12,80.6,3.36
122,Alofi,74,NU,1598725683,78,-19.06,-169.92,73.4,6.93
123,Lira,100,UG,1598726136,97,2.23,32.91,64.72,4.45
124,Avarua,0,CK,1598725954,83,-21.21,-159.78,73.4,16.11
125,Mount Gambier,95,AU,1598725963,32,-37.83,140.77,60.8,20.8
126,Saint George,1,US,1598725728,22,37.1,-113.58,89.6,9.17
127,Lata,0,PT,1598725931,67,40.16,-8.33,70.0,8.01
128,Nazas,70,MX,1598726137,29,25.23,-104.13,91.56,1.3
129,Isangel,100,VU,1598725967,85,-19.55,169.27,72.1,20.45
130,Provideniya,85,RU,1598725946,77,64.38,-173.3,48.87,11.65
131,Guerrero Negro,0,MX,1598726006,49,27.98,-114.06,87.53,7.36
132,Kalemie,0,CD,1598726139,57,-5.95,29.19,75.04,6.17
133,Key West,20,US,1598725920,66,24.56,-81.78,91.4,9.17
134,Carnarvon,0,AU,1598725956,67,-24.87,113.63,60.8,12.75
135,Russell,75,US,1598725870,66,32.35,-85.2,87.8,12.75
136,Khatanga,62,RU,1598725930,74,71.97,102.5,49.15,8.25
137,Severo-Kuril'sk,100,RU,1598725997,91,50.68,156.12,49.05,13.09
138,Dolores,89,AR,1598726140,64,-36.31,-57.68,54.75,16.89
139,Arraial do Cabo,0,BR,1598725978,65,-22.97,-42.03,80.6,25.28
140,Los Llanos de Aridane,40,ES,1598725990,78,28.66,-17.92,75.99,19.46
141,Mayor Pablo Lagerenza,0,PY,1598726141,19,-19.93,-60.77,102.96,13.53
142,Tartagal,0,AR,1598725869,31,-22.52,-63.8,90.23,5.37
143,Mae Sai,20,TH,1598726142,88,20.43,99.88,77.0,4.7
144,Saint Paul Harbor,90,US,1598725875,76,57.79,-152.41,55.4,14.99
145,Oyama,75,JP,1598726142,94,36.3,139.8,88.0,1.12
146,Souillac,75,MU,1598726004,73,-20.52,57.52,71.6,16.11
147,Haines Junction,23,CA,1598726020,62,60.75,-137.51,55.54,3.65
148,Myatlevo,80,RU,1598726143,93,54.9,35.68,53.6,2.24
149,Osoyoos,75,CA,1598725902,37,49.03,-119.45,75.2,20.8
150,Noshiro,100,JP,1598726144,91,40.2,140.02,73.42,8.57
151,Urucará,100,BR,1598725941,65,-2.54,-57.76,84.61,2.48
152,Tsimmerbude,34,RU,1598725988,82,54.67,20.13,64.4,6.71
153,Hong Kong,0,HK,1598725973,74,22.29,114.16,84.0,4.97
154,Tasiilaq,75,GL,1598725969,65,65.61,-37.64,44.6,17.22
155,Norman Wells,40,CA,1598725964,57,65.28,-126.83,48.2,9.17
156,Bonavista,17,CA,1598726146,57,48.65,-53.11,68.0,13.0
157,Dunedin,6,NZ,1598725941,67,-45.87,170.5,51.01,13.0
158,San Patricio,40,MX,1598725959,70,19.22,-104.7,89.6,13.87
159,Vozrozhdeniye,0,RU,1598726147,43,44.55,38.21,69.19,8.32
160,Hasaki,40,JP,1598725927,100,35.73,140.83,77.0,5.82
161,Melfort,1,CA,1598726147,49,52.87,-104.62,71.6,14.99
162,Aktobe,100,KZ,1598726148,33,50.28,57.21,71.6,4.47
163,Chokurdakh,100,RU,1598725976,96,70.63,147.92,37.18,4.76
164,Olafsvik,100,IS,1598726016,90,64.89,-23.71,52.52,11.14
165,Pochutla,75,MX,1598726149,70,15.74,-96.47,86.0,9.17
166,Pahrump,0,US,1598726149,12,36.21,-115.98,97.0,3.0
167,Qaqortoq,40,GL,1598725745,27,60.72,-46.03,64.4,20.8
168,Te Anau,100,NZ,1598725965,82,-45.42,167.72,48.4,7.4
169,Mogadishu,1,SO,1598726002,86,2.04,45.34,77.56,15.43
170,Artigas,83,UY,1598726150,81,-30.4,-56.47,73.26,13.0
171,Port Hardy,40,CA,1598725994,67,50.7,-127.42,60.8,9.17
172,Rumphi,0,MW,1598726151,45,-11.02,33.86,68.72,6.31
173,Kavieng,48,PG,1598725950,78,-2.57,150.8,82.27,16.24
174,Ginir,0,ET,1598726151,72,7.13,40.7,63.19,6.31
175,Beringovskiy,100,RU,1598725993,87,63.05,179.32,50.04,19.51
176,Yulara,0,AU,1598726007,27,-25.24,130.99,53.6,4.7
177,Lompoc,90,US,1598725982,72,34.64,-120.46,66.2,4.7
178,Ahipara,0,NZ,1598725986,85,-35.17,173.17,50.54,2.04
179,Chernyshevskiy,100,RU,1598726153,87,63.01,112.47,48.94,1.54
180,Alice Springs,0,AU,1598726154,24,-23.7,133.88,48.2,4.72
181,Mineral Wells,1,US,1598726154,28,32.81,-98.11,104.0,11.41
182,Khandagayty,99,RU,1598726155,72,50.73,92.05,49.68,9.55
183,Tuatapere,96,NZ,1598725661,82,-46.13,167.68,49.21,10.07
184,Ponta do Sol,40,PT,1598725996,60,32.67,-17.1,73.4,17.22
185,Jalu,0,LY,1598726155,23,29.03,21.55,89.49,8.63
186,Conde,40,BR,1598726156,69,-7.26,-34.91,82.4,14.99
187,Pauini,100,BR,1598726156,31,-7.71,-66.98,98.85,0.11
188,Mar del Plata,20,AR,1598725980,57,-38.0,-57.56,50.0,17.22
189,Port Macquarie,7,AU,1598726157,97,-31.43,152.92,42.01,5.99
190,Gbarnga,100,LR,1598726157,98,7.0,-9.47,71.62,4.12
191,Boa Vista,75,BR,1598726157,62,2.82,-60.67,86.0,8.05
192,Narrabri,0,AU,1598725947,80,-30.32,149.78,48.99,3.36
193,Chicama,0,PE,1598726025,53,-7.84,-79.15,73.22,11.18
194,Santa Cruz de la Sierra,0,BO,1598725990,44,-17.8,-63.17,93.2,23.04
195,Abu Dhabi,3,AE,1598725930,71,24.47,54.37,96.8,10.29
196,Grand-Lahou,0,CI,1598726158,88,5.14,-5.02,74.79,9.46
197,Hamilton,75,US,1598725844,61,39.18,-84.53,87.01,11.41
198,Kodinsk,0,RU,1598725924,85,58.69,99.18,50.49,1.59
199,Abu Kamal,0,SY,1598726160,12,34.45,40.92,90.14,7.99
200,Manadhoo,100,MV,1598726161,71,5.77,73.38,83.14,6.13
201,Al Bardīyah,0,LY,1598726161,75,31.76,25.09,77.32,7.9
202,Hirado,0,JP,1598726161,70,33.36,129.55,80.01,5.73
203,Lincoln,1,US,1598726055,41,40.8,-96.67,77.0,12.75
204,Bontang,73,ID,1598726162,85,0.13,117.5,77.68,8.16
205,Svetlaya,100,RU,1598726162,81,46.54,138.33,58.6,10.2
206,San Cristobal,40,VE,1598726163,52,7.77,-72.22,89.6,11.41
207,Bluff,80,NZ,1598725927,79,-46.6,168.33,52.32,32.44
208,Poronaysk,100,RU,1598725945,81,49.22,143.12,47.46,4.83
209,Nadvoitsy,0,RU,1598726164,89,63.87,34.32,46.83,4.03
210,Esperance,75,AU,1598725928,87,-33.87,121.9,46.4,5.82
211,Hammel,100,DK,1598726165,82,56.26,9.86,60.01,6.53
212,Ilulissat,75,GL,1598725983,62,69.22,-51.1,50.0,5.82
213,Tōno,100,JP,1598726166,91,39.32,141.53,71.47,2.89
214,San Miguel de Tucumán,77,AR,1598726001,37,-26.82,-65.22,82.4,16.11
215,Coburg,100,DE,1598726166,73,50.27,10.97,64.0,1.99
216,Roblin,13,CA,1598726167,50,51.23,-101.36,69.26,7.9
217,Zapolyarnyy,71,RU,1598726167,66,69.42,30.81,53.6,13.87
218,Alta Floresta,40,BR,1598726050,30,-9.88,-56.09,98.6,4.7
219,Kyra,100,RU,1598726167,90,49.58,111.98,52.57,2.37
220,Valparaíso,20,CL,1598726168,55,-33.04,-71.63,62.6,16.11
221,Pisco,90,PE,1598725988,72,-13.7,-76.22,64.4,8.05
222,Anloga,20,GH,1598726168,78,5.79,0.9,78.8,10.29
223,Mimongo,100,GA,1598726169,92,-1.62,11.61,70.45,4.9
224,Kiama,0,AU,1598725985,61,-34.68,150.87,54.0,5.68
225,Zhangye,95,CN,1598726169,71,38.93,100.45,56.07,4.88
226,Avera,90,US,1598726013,70,33.19,-82.53,86.0,10.29
227,Cabo San Lucas,90,MX,1598725848,94,22.89,-109.91,80.01,8.05
228,Shingū,0,JP,1598725969,88,33.73,135.98,75.97,3.74
229,Geraldton,0,AU,1598725842,87,-28.77,114.6,42.8,4.7
230,Malé,75,MV,1598726171,74,4.17,73.51,84.2,2.24
231,Flinders,0,AU,1598726016,81,-34.58,150.86,54.0,1.01
232,Marakkanam,100,IN,1598726172,79,12.2,79.95,83.52,14.0
233,Cockburn Town,40,TC,1598725930,66,21.46,-71.14,87.8,9.17
234,Cataingan,100,PH,1598726173,85,12.0,123.99,79.07,12.12
235,Pacific Grove,20,US,1598725905,63,36.62,-121.92,66.2,5.82
236,Sinazongwe,0,ZM,1598726173,33,-17.26,27.46,79.45,3.69
237,Kahului,40,US,1598725996,54,20.89,-156.47,82.4,13.87
238,Santa Vitória do Palmar,93,BR,1598726174,90,-33.52,-53.37,63.68,10.25
239,Buala,100,SB,1598726008,82,-8.14,159.59,80.11,7.02
240,Puerto Madryn,0,AR,1598725901,44,-42.77,-65.04,48.88,15.32
241,Wittmund,20,DE,1598726174,63,53.57,7.78,64.4,9.17
242,Mahon,75,ES,1598726175,83,39.89,4.27,71.6,18.34
243,Mglin,0,RU,1598726175,92,53.06,32.85,59.07,8.39
244,Port-Gentil,75,GA,1598726175,83,-0.72,8.78,77.0,15.05
245,Sitka,75,US,1598725971,71,57.05,-135.33,55.4,3.27
246,Kankan,100,GN,1598726176,94,10.39,-9.31,72.7,7.09
247,Manta,90,EC,1598725882,78,-0.95,-80.73,77.0,6.93
248,Kvarkeno,96,RU,1598726177,59,52.08,59.73,67.48,10.6
249,Kinablangan,100,PH,1598726177,77,7.69,126.55,78.64,3.24
250,Am Timan,68,TD,1598726178,88,11.03,20.28,74.34,5.77
251,Manggar,100,ID,1598726178,83,-2.88,108.27,80.62,12.5
252,Keningau,20,MY,1598726178,94,5.34,116.16,77.0,4.7
253,Weihai,10,CN,1598726179,88,37.5,122.11,73.87,4.88
254,Egvekinot,42,RU,1598726026,78,66.32,-179.17,37.67,14.25
255,Lebu,0,CL,1598725933,61,-37.62,-73.65,48.85,16.31
256,Karratha,0,AU,1598725988,39,-20.74,116.85,76.23,7.74
257,Tambacounda,75,SN,1598726180,70,13.75,-13.76,87.8,4.7
258,Amga,100,RU,1598726180,51,60.9,131.96,49.71,4.16
259,Krasnoturansk,0,RU,1598726181,93,54.32,91.56,53.6,1.7
260,Aklavik,40,CA,1598725980,81,68.22,-135.01,48.2,4.7
261,Samfya,97,ZM,1598726181,32,-11.36,29.56,75.43,4.05
262,Nacala,2,MZ,1598726182,80,-14.54,40.67,73.44,9.01
263,Mlonggo,100,ID,1598726182,74,-6.53,110.7,77.43,4.56
264,Rincon,75,US,1598725938,59,32.3,-81.24,91.0,17.22
265,Clyde River,1,CA,1598725987,71,70.47,-68.59,53.6,13.87
266,Sisimiut,100,GL,1598726183,89,66.94,-53.67,48.2,7.02
267,Ust'-Ilimsk,59,RU,1598726184,90,58.0,102.66,51.96,1.79
268,Loandjili,75,CG,1598726184,88,-4.76,11.86,73.4,13.87
269,Jumla,4,NP,1598726184,68,29.27,82.18,59.25,2.68
270,Stephenville,1,US,1598726016,35,32.22,-98.2,99.0,9.17
271,Albury,0,AU,1598726185,100,-36.08,146.92,39.0,4.65
272,Okha,0,RU,1598725923,86,53.57,142.95,48.36,9.95
273,Medicine Hat,40,CA,1598726114,37,50.05,-110.67,71.01,19.46
274,Caravelas,0,BR,1598725976,70,-17.71,-39.25,77.23,7.11
275,Bilma,59,NE,1598726186,35,18.69,12.92,92.5,7.65
276,Bad Kissingen,100,DE,1598726186,69,50.2,10.08,66.0,1.01
277,Zhuanghe,0,CN,1598726187,88,39.7,122.99,73.99,3.53
278,Kisangani,100,CD,1598725979,96,0.52,25.2,71.42,1.48
279,Ziarat,0,PK,1598726187,60,30.38,67.73,63.28,2.04
280,Moyale,97,KE,1598726188,56,3.52,39.06,72.3,4.16
281,Along,100,IN,1598726188,89,28.17,94.77,73.11,1.63
282,Ţahţā,0,EG,1598726189,21,26.77,31.5,95.0,8.05
283,Oxelösund,75,SE,1598726189,93,58.67,17.1,55.4,10.29
284,Kaniama,75,CD,1598726190,52,-7.57,24.18,79.54,1.99
285,Ghanzi,24,BW,1598726190,27,-21.57,21.78,63.55,14.54
286,Sosnovo-Ozerskoye,100,RU,1598726190,96,52.52,111.54,47.25,6.8
287,Miles City,1,US,1598726006,26,46.41,-105.84,80.6,10.29
288,Sungai Raya,100,ID,1598726191,85,0.7,108.9,78.75,4.0
289,Wanning,0,CN,1598726040,84,18.8,110.4,79.43,2.68
290,Mt. Pleasant,40,US,1598725960,59,32.79,-79.86,91.4,14.99
291,Ponta Delgada,75,PT,1598726032,94,37.73,-25.67,75.2,16.11
292,Lüderitz,0,NA,1598725971,63,-26.65,15.16,54.61,21.77
293,Sinnamary,99,GF,1598726192,81,5.38,-52.95,84.16,12.17
294,Il’inskiy,97,RU,1598726192,93,55.62,38.12,61.0,2.24
295,Suntar,93,RU,1598725926,96,62.14,117.63,50.32,3.89
296,Acarí,65,PE,1598726193,59,-15.43,-74.62,67.98,9.31
297,Manuk Mangkaw,41,PH,1598726193,68,4.8,119.85,84.07,3.06
298,Makakilo City,1,US,1598725995,58,21.35,-158.09,82.4,10.29
299,Naurskaya,18,RU,1598726194,60,43.65,45.31,73.4,2.24
300,Damaturu,100,NG,1598726194,70,11.75,11.96,79.05,2.71
301,Severo-Yeniseyskiy,0,RU,1598726195,96,60.37,93.04,46.29,3.04
302,Iracoubo,100,GF,1598725993,85,5.48,-53.2,82.74,11.79
303,Manturovo,0,RU,1598726195,97,58.34,44.76,55.8,5.75
304,Magadan,1,RU,1598726014,73,59.57,150.8,42.55,8.84
305,Constitución,0,CL,1598725958,65,-35.33,-72.42,55.31,14.45
306,Husavik,75,IS,1598725935,71,66.04,-17.34,51.8,5.82
307,Creel,99,MX,1598726196,46,27.75,-107.63,73.42,4.94
308,Laas,75,IT,1598725985,100,46.62,10.7,55.0,4.7
309,Kruisfontein,100,ZA,1598725994,68,-34.0,24.73,46.99,3.0
310,Saldanha,0,ZA,1598725934,70,-33.01,17.94,46.4,5.82
311,Prieska,0,ZA,1598726198,59,-29.66,22.75,43.07,10.0
312,Kutum,87,SD,1598726004,70,14.2,24.67,74.48,10.16
313,Longyearbyen,40,SJ,1598725966,65,78.22,15.64,41.0,19.46
314,Kloulklubed,75,PW,1598726198,88,7.04,134.26,77.0,7.85
315,Ust-Nera,78,RU,1598725990,74,64.57,143.2,37.92,2.98
316,Yerbogachën,94,RU,1598726199,80,61.28,108.01,51.66,4.23
317,Pringsewu,49,ID,1598726199,89,-5.36,104.97,72.1,1.25
318,Fuerte Olimpo,0,PY,1598726200,14,-21.04,-57.87,101.89,7.31
319,Port Hedland,0,AU,1598726200,72,-20.32,118.57,66.2,8.05
320,Panama City,40,PA,1598725993,70,8.99,-79.52,89.6,12.75
321,Carman,0,CA,1598726201,45,49.5,-98.0,73.99,0.78
322,Gwembe,0,ZM,1598726201,22,-16.5,27.61,72.63,2.66
323,Naryan-Mar,44,RU,1598725983,78,67.67,53.09,43.66,10.27
324,Tabas,0,IR,1598726202,11,33.6,56.92,84.2,6.93
325,Klaksvík,100,FO,1598726005,81,62.23,-6.59,50.0,8.05
326,Puerto del Rosario,40,ES,1598726012,61,28.5,-13.86,78.8,23.04
327,Devonport,9,AU,1598726203,90,-41.17,146.35,48.99,2.17
328,Dingle,100,PH,1598726013,87,11.0,122.67,75.06,1.81
329,Ipixuna,40,BR,1598726203,59,-1.76,-48.8,89.6,5.82
330,Havre-St-Pierre,1,CA,1598725962,62,50.23,-63.6,57.2,23.04
331,Guane,99,CU,1598726204,60,22.2,-84.09,90.01,9.28
332,Kiunga,100,PG,1598726205,98,-6.12,141.29,73.08,2.84
333,Bengkulu,97,ID,1598725983,86,-3.8,102.27,76.39,3.87
334,Henties Bay,0,NA,1598726002,79,-22.12,14.28,57.0,5.01
335,Shimanovsk,100,RU,1598725964,89,52.0,127.7,49.71,0.74
336,Baoqing,100,CN,1598726207,95,46.33,132.21,59.04,9.91
337,Jinchang,100,CN,1598726208,61,38.5,102.17,58.15,4.72
338,Eyl,0,SO,1598726010,75,7.98,49.82,78.17,22.41
339,Lillooet,40,CA,1598726209,67,50.69,-121.94,59.0,6.93
340,Presidencia Roque Sáenz Peña,85,AR,1598726209,32,-26.79,-60.44,93.47,7.14
341,Nova Olinda do Norte,100,BR,1598726209,45,-3.89,-59.09,93.54,2.19
342,Guadalupe y Calvo,73,MX,1598726210,84,26.1,-106.97,67.6,5.26
343,Mareeba,90,AU,1598726210,83,-17.0,145.43,69.8,12.75
344,Vaitape,85,PF,1598726210,78,-16.52,-151.75,78.53,25.19
345,Mayumba,100,GA,1598726211,88,-3.43,10.66,73.98,11.61
346,Hobyo,1,SO,1598726211,82,5.35,48.53,77.81,25.48
347,Dharmābād,100,IN,1598726211,94,18.9,77.85,73.69,4.9
348,Smithers,75,CA,1598726212,66,54.78,-127.17,51.8,3.36
349,Galle,20,LK,1598726116,82,6.04,80.22,80.04,11.34
350,Matara,41,LK,1598726213,84,5.95,80.54,79.18,10.83
351,Berlevåg,88,NO,1598726012,78,70.86,29.09,50.81,12.82
352,Milos,0,GR,1598726214,69,36.75,24.43,78.8,2.24
353,Altamira,40,BR,1598726214,55,-3.2,-52.21,91.4,4.7
354,Nome,90,US,1598725651,76,64.5,-165.41,55.99,9.17
355,Igrim,97,RU,1598725928,78,63.19,64.42,55.51,10.04
356,Khāsh,97,IR,1598725993,24,28.22,61.22,67.12,6.62
357,Tautira,20,PF,1598726017,74,-17.73,-149.15,78.8,3.36
358,Puerto Baquerizo Moreno,75,EC,1598725948,78,-0.9,-89.6,71.6,23.04
359,Vuktyl,100,RU,1598726216,91,63.86,57.31,51.78,8.25
360,Pattaya,20,TH,1598726216,83,12.93,100.88,84.2,6.93
361,Uramita,49,CO,1598726217,74,6.9,-76.17,77.18,3.69
362,Santa Maria,20,BR,1598725776,58,-29.68,-53.81,86.0,2.24
363,Tenancingo,75,MX,1598726217,60,19.15,-98.18,71.6,10.29
364,Wanlaweyn,0,SO,1598726217,74,2.62,44.89,77.77,15.5
365,College,90,US,1598726040,87,64.86,-147.8,52.0,3.36
366,Kiryat Gat,0,IL,1598725988,88,31.61,34.76,84.99,4.85
367,Saint Anthony,1,US,1598726219,46,45.02,-93.22,75.99,11.41
368,Baharly,0,TM,1598726219,16,38.44,57.43,81.68,6.8
369,Westport,100,US,1598725974,90,41.14,-73.36,78.01,12.03
370,Bairiki Village,40,KI,1598726054,74,1.33,172.98,82.4,5.82
371,Linxi,1,CN,1598726220,93,39.7,118.43,68.74,2.91
372,Belmonte,0,BR,1598726221,65,-15.86,-38.88,78.8,9.17
